,n_estimators,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split
0,100,False,80.0,1.0,1,2
1,100,False,80.0,sqrt,1,2
2,100,False,80.0,log2,1,2
3,100,False,90.0,1.0,1,2
4,100,False,90.0,sqrt,1,2
5,100,False,90.0,log2,1,2
6,100,False,100.0,1.0,1,2
7,100,False,100.0,sqrt,1,2
8,100,False,110.0,1.0,1,2
9,100,False,110.0,sqrt,1,2
10,100,False,110.0,log2,1,2
11,100,False,,1.0,1,2
12,100,False,,sqrt,1,2
13,200,False,80.0,1.0,1,2
14,200,False,80.0,sqrt,1,2
15,200,False,80.0,log2,1,2
16,200,False,90.0,1.0,1,2
17,200,False,90.0,sqrt,1,2
18,200,False,90.0,log2,1,2
19,200,False,100.0,1.0,1,2
20,200,False,100.0,sqrt,1,2
21,200,False,100.0,log2,1,2
22,200,False,110.0,1.0,1,2
23,200,False,110.0,sqrt,1,2
24,200,False,110.0,log2,1,2
25,200,False,,1.0,1,2
26,200,False,,sqrt,1,2
27,200,False,,log2,1,2
28,1000,False,80.0,1.0,1,2
29,1000,False,80.0,log2,1,2
30,1000,False,90.0,1.0,1,2
31,1000,False,90.0,1.0,1,8
32,1000,False,90.0,sqrt,1,2
33,1000,False,90.0,log2,1,2
34,1000,False,100.0,1.0,1,2
35,1000,False,100.0,sqrt,1,2
36,1000,False,100.0,log2,1,2
37,1000,False,110.0,1.0,1,2
38,1000,False,110.0,sqrt,1,2
39,1000,False,110.0,log2,1,2
40,1000,False,,1.0,1,2
41,1000,False,,sqrt,1,2
42,1000,False,,log2,1,2
43,2000,False,80.0,1.0,1,2
44,2000,False,80.0,sqrt,1,2
45,2000,False,90.0,sqrt,1,2
46,2000,False,90.0,log2,1,2
47,2000,False,100.0,sqrt,1,2
48,2000,False,100.0,log2,1,2
49,2000,False,110.0,sqrt,1,2
50,2000,False,110.0,log2,1,2
51,2000,False,,1.0,1,2
52,2000,False,,sqrt,1,2
53,2000,False,,log2,1,2
