,building_id,timestamp,meter_reading,anomaly
75,721,2016-01-01 00:00:00,18.2,0
275,721,2016-01-01 01:00:00,35.8,0
473,721,2016-01-01 02:00:00,32.1,0
672,721,2016-01-01 03:00:00,32.0,0
871,721,2016-01-01 04:00:00,30.0,0
1070,721,2016-01-01 05:00:00,35.3,0
1269,721,2016-01-01 06:00:00,39.6,0
1468,721,2016-01-01 07:00:00,44.2,0
1667,721,2016-01-01 08:00:00,42.5,0
1866,721,2016-01-01 09:00:00,35.6,0
2065,721,2016-01-01 10:00:00,29.9,0
2264,721,2016-01-01 11:00:00,25.8,0
2463,721,2016-01-01 12:00:00,26.4,0
2662,721,2016-01-01 13:00:00,25.5,0
2861,721,2016-01-01 14:00:00,25.6,0
3060,721,2016-01-01 15:00:00,26.0,0
3259,721,2016-01-01 16:00:00,28.1,0
3458,721,2016-01-01 17:00:00,27.6,0
3657,721,2016-01-01 18:00:00,28.1,0
3856,721,2016-01-01 19:00:00,28.4,0
4055,721,2016-01-01 20:00:00,29.2,0
4254,721,2016-01-01 21:00:00,26.0,0
4453,721,2016-01-01 22:00:00,21.6,0
4652,721,2016-01-01 23:00:00,21.6,0
4851,721,2016-01-02 00:00:00,21.8,0
5050,721,2016-01-02 01:00:00,21.6,0
5248,721,2016-01-02 02:00:00,23.7,0
5447,721,2016-01-02 03:00:00,21.9,0
5646,721,2016-01-02 04:00:00,21.4,0
5845,721,2016-01-02 05:00:00,22.3,0
6044,721,2016-01-02 06:00:00,24.6,0
6243,721,2016-01-02 07:00:00,28.4,0
6442,721,2016-01-02 08:00:00,29.4,0
6641,721,2016-01-02 09:00:00,25.0,0
6840,721,2016-01-02 10:00:00,21.9,0
7039,721,2016-01-02 11:00:00,20.2,0
7238,721,2016-01-02 12:00:00,20.5,0
7437,721,2016-01-02 13:00:00,20.7,0
7636,721,2016-01-02 14:00:00,23.9,0
7835,721,2016-01-02 15:00:00,20.4,0
8034,721,2016-01-02 16:00:00,21.2,0
8233,721,2016-01-02 17:00:00,25.5,0
8432,721,2016-01-02 18:00:00,28.6,0
8631,721,2016-01-02 19:00:00,28.6,0
8830,721,2016-01-02 20:00:00,29.5,0
9029,721,2016-01-02 21:00:00,27.5,0
9228,721,2016-01-02 22:00:00,23.1,0
9427,721,2016-01-02 23:00:00,23.5,0
9626,721,2016-01-03 00:00:00,21.6,0
9825,721,2016-01-03 01:00:00,22.3,0
10023,721,2016-01-03 02:00:00,22.6,0
10222,721,2016-01-03 03:00:00,22.6,0
10421,721,2016-01-03 04:00:00,21.8,0
10620,721,2016-01-03 05:00:00,22.2,0
10819,721,2016-01-03 06:00:00,23.4,0
11018,721,2016-01-03 07:00:00,29.1,0
11217,721,2016-01-03 08:00:00,30.3,0
11416,721,2016-01-03 09:00:00,25.8,0
11615,721,2016-01-03 10:00:00,21.0,0
11814,721,2016-01-03 11:00:00,21.8,0
12013,721,2016-01-03 12:00:00,20.7,0
12212,721,2016-01-03 13:00:00,21.1,0
12411,721,2016-01-03 14:00:00,21.3,0
12610,721,2016-01-03 15:00:00,21.4,0
12809,721,2016-01-03 16:00:00,21.8,0
13008,721,2016-01-03 17:00:00,28.6,0
13207,721,2016-01-03 18:00:00,28.0,0
13406,721,2016-01-03 19:00:00,29.0,0
13605,721,2016-01-03 20:00:00,28.9,0
13804,721,2016-01-03 21:00:00,25.9,0
14003,721,2016-01-03 22:00:00,22.4,0
14202,721,2016-01-03 23:00:00,22.5,0
14401,721,2016-01-04 00:00:00,35.8,0
14600,721,2016-01-04 01:00:00,21.9,0
14798,721,2016-01-04 02:00:00,23.8,0
14997,721,2016-01-04 03:00:00,22.1,0
15196,721,2016-01-04 04:00:00,21.8,0
15395,721,2016-01-04 05:00:00,23.6,0
15593,721,2016-01-04 06:00:00,28.3,0
15791,721,2016-01-04 07:00:00,43.5,0
15990,721,2016-01-04 08:00:00,90.2,0
16189,721,2016-01-04 09:00:00,123.6,0
16388,721,2016-01-04 10:00:00,162.3,0
16587,721,2016-01-04 11:00:00,177.6,0
16786,721,2016-01-04 12:00:00,182.4,0
16985,721,2016-01-04 13:00:00,184.4,0
17184,721,2016-01-04 14:00:00,172.8,0
17383,721,2016-01-04 15:00:00,160.7,0
17582,721,2016-01-04 16:00:00,150.9,0
17781,721,2016-01-04 17:00:00,145.7,0
17980,721,2016-01-04 18:00:00,115.0,0
18179,721,2016-01-04 19:00:00,69.1,0
18378,721,2016-01-04 20:00:00,61.1,0
18577,721,2016-01-04 21:00:00,56.6,0
18776,721,2016-01-04 22:00:00,49.8,0
18975,721,2016-01-04 23:00:00,50.7,0
19174,721,2016-01-05 00:00:00,47.6,0
19373,721,2016-01-05 01:00:00,51.1,0
19571,721,2016-01-05 02:00:00,50.4,0
19770,721,2016-01-05 03:00:00,52.8,0
19969,721,2016-01-05 04:00:00,51.9,0
20168,721,2016-01-05 05:00:00,62.3,0
20367,721,2016-01-05 06:00:00,74.0,0
20566,721,2016-01-05 07:00:00,76.0,0
20765,721,2016-01-05 08:00:00,109.4,0
20964,721,2016-01-05 09:00:00,140.6,0
21163,721,2016-01-05 10:00:00,172.9,0
21362,721,2016-01-05 11:00:00,173.5,0
21561,721,2016-01-05 12:00:00,175.6,0
21760,721,2016-01-05 13:00:00,167.5,0
21959,721,2016-01-05 14:00:00,150.8,0
22158,721,2016-01-05 15:00:00,142.4,0
22357,721,2016-01-05 16:00:00,135.3,0
22556,721,2016-01-05 17:00:00,131.3,0
22755,721,2016-01-05 18:00:00,121.2,0
22954,721,2016-01-05 19:00:00,66.8,0
23153,721,2016-01-05 20:00:00,51.5,0
23352,721,2016-01-05 21:00:00,48.9,0
23551,721,2016-01-05 22:00:00,43.5,0
23750,721,2016-01-05 23:00:00,43.2,0
23949,721,2016-01-06 00:00:00,44.6,0
24148,721,2016-01-06 01:00:00,45.2,0
24346,721,2016-01-06 02:00:00,44.7,0
24545,721,2016-01-06 03:00:00,45.8,0
24744,721,2016-01-06 04:00:00,45.6,0
24943,721,2016-01-06 05:00:00,49.3,0
25141,721,2016-01-06 06:00:00,59.2,0
25340,721,2016-01-06 07:00:00,69.1,0
25539,721,2016-01-06 08:00:00,104.8,0
25738,721,2016-01-06 09:00:00,132.2,0
25937,721,2016-01-06 10:00:00,151.5,0
26134,721,2016-01-06 11:00:00,158.8,0
26333,721,2016-01-06 12:00:00,156.0,0
26532,721,2016-01-06 13:00:00,154.3,0
26731,721,2016-01-06 14:00:00,139.4,0
26930,721,2016-01-06 15:00:00,135.9,0
27129,721,2016-01-06 16:00:00,129.5,0
27328,721,2016-01-06 17:00:00,132.5,0
27527,721,2016-01-06 18:00:00,102.5,0
27726,721,2016-01-06 19:00:00,56.3,0
27925,721,2016-01-06 20:00:00,49.5,0
28124,721,2016-01-06 21:00:00,47.6,0
28323,721,2016-01-06 22:00:00,44.0,0
28522,721,2016-01-06 23:00:00,43.1,0
28721,721,2016-01-07 00:00:00,39.6,0
28918,721,2016-01-07 01:00:00,44.1,0
29114,721,2016-01-07 02:00:00,44.7,0
29311,721,2016-01-07 03:00:00,45.0,0
29508,721,2016-01-07 04:00:00,45.1,0
29705,721,2016-01-07 05:00:00,48.1,0
29901,721,2016-01-07 06:00:00,57.8,0
30098,721,2016-01-07 07:00:00,68.9,0
30295,721,2016-01-07 08:00:00,107.0,0
30492,721,2016-01-07 09:00:00,134.2,0
30689,721,2016-01-07 10:00:00,161.9,0
30886,721,2016-01-07 11:00:00,176.9,0
31083,721,2016-01-07 12:00:00,172.1,0
31280,721,2016-01-07 13:00:00,166.8,0
31477,721,2016-01-07 14:00:00,144.9,0
31674,721,2016-01-07 15:00:00,126.0,0
31871,721,2016-01-07 16:00:00,120.9,0
32068,721,2016-01-07 17:00:00,119.9,0
32265,721,2016-01-07 18:00:00,101.7,0
32462,721,2016-01-07 19:00:00,57.4,0
32659,721,2016-01-07 20:00:00,45.0,0
32856,721,2016-01-07 21:00:00,41.2,0
33053,721,2016-01-07 22:00:00,35.4,0
33250,721,2016-01-07 23:00:00,35.3,0
33447,721,2016-01-08 00:00:00,39.7,0
33644,721,2016-01-08 01:00:00,37.0,0
33840,721,2016-01-08 02:00:00,35.8,0
